02.11.2022 21:00,,,AC Milan,,Salzburg,,,,,,
,,,4,,0,,1ST HALF,Jan-00,,2ND HALF,Mar-00
,,,50%,Ball Possession,50%,46%,Ball Possession,54%,54%,Ball Possession,46%
,,,15,Goal Attempts,14,9,Goal Attempts,7,6,Goal Attempts,7
,,,7,Shots on Goal,5,3,Shots on Goal,3,4,Shots on Goal,2
,,,4,Shots off Goal,8,3,Shots off Goal,3,1,Shots off Goal,5
,,,4,Blocked Shots,1,3,Blocked Shots,1,1,Blocked Shots,0
,,,9,Free Kicks,6,6,Free Kicks,5,3,Free Kicks,1
,,,3,Corner Kicks,2,1,Corner Kicks,2,2,Corner Kicks,0
,,,2,Offsides,0,2,Offsides,0,0,Offsides,0
,,,15,Throw-in,22,10,Throw-in,16,5,Throw-in,6
,,,5,Goalkeeper Saves,3,3,Goalkeeper Saves,2,2,Goalkeeper Saves,1
,,,5,Fouls,9,3,Fouls,6,2,Fouls,3
,,,0,Yellow Cards,2,0,Yellow Cards,1,0,Yellow Cards,1
,,,384,Total Passes,412,164,Total Passes,207,220,Total Passes,205
,,,305,Completed Passes,342,122,Completed Passes,169,183,Completed Passes,173
,,,23,Tackles,20,12,Tackles,4,11,Tackles,16
,,,86,Attacks,111,40,Attacks,55,46,Attacks,56
,,,36,Dangerous Attacks,43,19,Dangerous Attacks,22,17,Dangerous Attacks,21
